"variable","est","se","run_time_sec"
"lambda_1",1.1304914575825,0.030078834509677,121.398448944092
"lambda_2",1.705991119218,0.0401596969265565,121.398448944092
"lambda_3",-0.409907629140148,0.0167069523733154,121.398448944092
"lambda_4",1.92517760132876,0.0484574354196159,121.398448944092
"sigma2_u_1",1.25143215556862,0.14527425768537,121.398448944092
"sigma2_u_2",1.59619526126412,0.201936405603144,121.398448944092
"sigma2_u_3",1.4849094983997,0.152682334756545,121.398448944092
"sigma2_u_4",0.969036984795777,0.147481262956203,121.398448944092
"sigma2_e_1",0.62135135277203,0.0222811082281945,121.398448944092
"sigma2_e_2",0.47614786020658,0.0344536661434818,121.398448944092
"sigma2_e_3",0.404378630613122,0.0120210728517619,121.398448944092
"sigma2_e_4",0.687602978901381,0.115865155950682,121.398448944092
"theta_ou_11",1.1582608441247,0.212287804484889,121.398448944092
"theta_ou_21",4.94420047468484,0.842863511161821,121.398448944092
"theta_ou_12",0.762638240234839,0.247784424574157,121.398448944092
"theta_ou_22",6.36452425118748,1.06354982527971,121.398448944092
"sigma_ou_11",1.07677110533039,NA,NA
"sigma_ou_22",2.28640255381256,NA,NA
